Summary
Name,"SuFEx-R1-BSF-PhOH-2xDBU-4-28-20.rslt"
Start time,2020 апр 28 - 18:42
End time,2020 апр 30 - 12:47
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\SuFEx-R1-BSF-PhOH-2xDBU-4-28-20.rslt"
General Experiment Info
Bath temperature,25°C
,Sample - Ch 1
Total mass,800mg
Name,"SuFEx-R1-BSF-PhOH-2xDBU"
,Component - PhOH
Mass,1.88mg
Name,"PhOH"
Physical shape,"Liquid"
,Component - DCM + BSF + 2xDBU
Name,"DCM + BSF + 2xDBU"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-1372.7570669651,24.9999996792545,NaN,NaN,NaN,NaN,""
-1372.42988038063,24.9999996816933,-2.46430911701739E-08,NaN,-1.31080272181776E-05,NaN,""
-1347.50900387764,24.9999998674444,-1.71763508020038E-08,NaN,-9.13635680957647E-06,NaN,""
-1334.88508725166,24.9999998040857,-1.62301963434708E-08,NaN,-8.63308316142066E-06,NaN,""
-1322.26094079018,24.999999740726,-1.53594360827168E-08,NaN,-8.16991280995572E-06,NaN,""
-1309.6370241642,24.99999977627,-1.56555038259549E-08,NaN,-8.32739565210368E-06,NaN,""
-1297.01287770271,24.9999998118146,-1.59825788524549E-08,NaN,-8.50137173002923E-06,NaN,""
-1284.38896107674,24.9999997512512,-1.59238240196422E-08,NaN,-8.47011915938417E-06,NaN,""
-1271.76481461525,24.9999996906867,-1.58548242797956E-08,NaN,-8.43341717010404E-06,NaN,""
-1259.14089798927,24.9999999153275,-1.56119995528791E-08,NaN,-8.30425508131868E-06,NaN,""
-1246.51675152779,25.0000001399724,-1.53645585540021E-08,NaN,-8.17263752872453E-06,NaN,""
-1233.89283490181,25.0000002459757,-1.44108964849302E-08,NaN,-7.66537047070755E-06,NaN,""
-1221.26868844032,25.000000351981,-1.34384934595168E-08,NaN,-7.14813481889194E-06,NaN,""
-1208.64477181435,25.0000002388295,-1.30636134676552E-08,NaN,-6.94873056790171E-06,NaN,""
-1196.02062535286,25.0000001256758,-1.27045563685076E-08,NaN,-6.75774274920616E-06,NaN,""
