Summary
Name,"DCM-T15-10-2-20.rslt"
Start time,2020 окт 02 - 19:10
End time,2020 окт 05 - 9:23
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\DCM-T15-10-2-20.rslt"
General Experiment Info
Bath temperature,15°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"DCM-T15","DCM-T15","DCM-T15"
,Component - DCM,Component - DCM,Component - DCM
Mass,800mg,800mg,800mg
Name,"DCM","DCM","DCM"
Physical shape,"Liquid","Liquid","Liquid"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Room Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers"
-1821.39773774147,NaN,NaN,NaN,NaN,NaN,NaN,15.0001019276622,15.0000135555568,""
-1821.39721059799,15.0000001362938,NaN,NaN,NaN,NaN,NaN,15.0001019277051,15.0000135555997,""
-1821.09678053856,15.0000001336538,7.54904909928314E-09,NaN,9.43631137410393E-09,NaN,NaN,15.000101952109,15.0000135800303,""
-1812.00354719162,15.000000053749,7.3928038354484E-09,NaN,9.24100479431051E-09,NaN,27.0743126548308,15.0001026907519,15.0000143194833,""
-1784.07132101059,14.9999998083005,6.91285595743472E-09,NaN,8.6410699467934E-09,NaN,27.1773763316705,15.0001049596854,15.0000165909051,""
-1765.40898752213,15.0000000444552,8.71735913566865E-09,NaN,1.08966989195858E-08,NaN,27.2116943502589,15.0001105217019,15.0000221519727,""
-1746.74490404129,15.000000280666,1.05569954473465E-08,NaN,1.31962443091832E-08,NaN,27.2110138391076,15.0001160842398,15.0000277135618,""
-1728.08257055283,15.0000000947249,7.23233424238264E-09,NaN,9.0404178029783E-09,NaN,27.2158580205145,15.0001192889418,15.0000309210149,""
-1709.41848707199,14.9999999087067,3.82208994668905E-09,NaN,4.77761243336132E-09,NaN,27.2262987454186,15.0001224939443,15.0000341287688,""
-1690.75615382195,14.9999998913271,2.75192283297323E-09,NaN,3.43990354121654E-09,NaN,27.2286016412322,15.0001240348843,15.0000356803879,""
-1672.09207034111,14.9999998739794,1.72043035749828E-09,NaN,2.15053794687286E-09,NaN,27.2226657452607,15.0001255759689,15.0000372321525,""
-1653.42973709106,14.9999999853339,1.26841426301193E-09,NaN,1.58551782876491E-09,NaN,27.2302734667138,15.0001207603802,15.0000324137243,""
-1634.76565337181,15.0000000967316,8.25992148130459E-10,NaN,1.03249018516307E-09,NaN,27.2515898523612,15.0001159443397,15.0000275948441,""
-1616.10332012177,15.0000000199104,4.02217679817956E-09,NaN,5.02772099772444E-09,NaN,27.248234938636,15.0001135685309,15.0000252148066,""
-1597.43923640251,14.9999999430234,7.27939695045502E-09,NaN,9.09924618806878E-09,NaN,27.2199194213696,15.0001111924992,15.0000228345458,""
-1578.77690315247,14.9999999658441,7.39719972718418E-09,NaN,9.24649965898023E-09,NaN,27.1547528753384,15.000120589643,15.000032235137,""
-1560.11281967163,14.9999999887037,7.46242647447838E-09,NaN,9.32803309309797E-09,NaN,27.0523058092505,15.0001299876682,15.0000416366099,""
-1541.45048642159,14.9999997224398,4.16020667596342E-09,NaN,5.20025834495427E-09,NaN,26.9942277890092,15.0001394828733,15.0000511380999,""
-1522.78640270233,14.9999994560283,8.01062977632564E-10,NaN,1.00132872204071E-09,NaN,26.980993342684,15.0001489789691,15.0000606404811,""
-1504.12406921387,14.9999999441516,1.67779669742703E-09,NaN,2.09724587178379E-09,NaN,26.9610276935229,15.0001514496672,15.0000631121678,""
-1485.45998573303,15.0000004326832,2.62607604917223E-09,NaN,3.28259506146528E-09,NaN,26.9342559775731,15.000153920597,15.0000655840862,""
-1466.79765224457,15.0000002107889,4.48922169658769E-09,NaN,5.61152712073461E-09,NaN,26.954243429711,15.0001537701524,15.0000654300744,""
-1448.13356900215,14.9999999884923,6.36803427813328E-09,NaN,7.9600428476666E-09,NaN,27.0214699956617,15.0001536196937,15.0000652760481,""
-1429.47123575211,14.9999998614752,9.79410291557474E-09,NaN,1.22426286444684E-08,NaN,27.0600257603512,15.0001539552549,15.0000656034116,""
-1410.80715203285,14.9999997345028,1.32467873269302E-08,NaN,1.65584841586628E-08,NaN,27.0696368794072,15.0001542908475,15.0000659308058,""
-1392.14481878281,14.9999999165869,9.06597599184302E-09,NaN,1.13324699898038E-08,NaN,27.0724397470314,15.0001604658413,15.0000721123928,""
-1373.48073506355,15.0000000988889,4.75460925747004E-09,NaN,5.94326157183755E-09,NaN,27.0683707167311,15.0001666414142,15.0000782945596,""
-1354.81840181351,14.9999998672845,4.24656565765942E-09,NaN,5.30820707207427E-09,NaN,27.0883718291808,15.0001719762102,15.0000836291125,""
-1336.15431833267,14.9999996353658,3.80355132138147E-09,NaN,4.75443915172684E-09,NaN,27.132664625536,15.0001773115064,15.0000889641658,""
-1317.49198508263,14.9999999318309,4.49612721785041E-09,NaN,5.62015902231301E-09,NaN,27.1477972821129,15.0001734535583,15.0000851069519,""
-1298.82790136337,15.0000002287271,5.20826819821208E-09,NaN,6.5103352477651E-09,NaN,27.1335198615888,15.0001695952484,15.0000812493762,""
-1280.16556787491,15.0000003390192,5.03599465134097E-09,NaN,6.29499331417621E-09,NaN,27.1033332908024,15.0001589949641,15.0000706488091,""
-1261.50148439407,15.0000004491685,4.84846545668063E-09,NaN,6.06058182085078E-09,NaN,27.0570999884026,15.0001483936859,15.000060047248,""
-1242.83915090561,15.0000003388014,2.80004364502718E-09,NaN,3.50005455628397E-09,NaN,26.997378613695,15.0001335180984,15.0000451784523,""
-1224.17506766319,15.0000002282306,7.19249927017939E-10,NaN,8.99062408772423E-10,NaN,26.924051199706,15.0001186411162,15.0000303082626,""
-1205.51273441315,15.000000168291,2.01716793335394E-09,NaN,2.52145991669243E-09,NaN,26.8979712082512,15.0001112109419,15.0000228817045,""
-1186.84865069389,15.0000001083931,3.37383374524754E-09,NaN,4.21729218155942E-09,NaN,26.919489714048,15.0001037800707,15.0000154544498,""
-1168.18631744385,15.0000001028347,4.64311814641369E-09,NaN,5.80389768301711E-09,NaN,26.9236373788133,15.0001090906769,15.0000207558635,""
-1149.52223372459,15.0000000973295,5.91100227318116E-09,NaN,7.38875284147645E-09,NaN,26.9102906688264,15.0001144017811,15.0000260577744,""
-1130.85990047455,14.9999999312222,5.06341420622755E-09,NaN,6.32926775778443E-09,NaN,26.9244255024293,15.0001195900576,15.0000312543083,""
-1112.19581699371,14.9999997649313,4.17878559432647E-09,NaN,5.22348199290809E-09,NaN,26.9662308303101,15.0001247788207,15.0000364513296,""
-1093.53348350525,14.9999999282861,8.85549559116953E-10,NaN,1.10693694889619E-09,NaN,26.9784459207865,15.0001248870718,15.000036567482,""
-1074.86940002441,15.0000000920197,-2.45022652708665E-09,NaN,-3.06278315885831E-09,NaN,26.9608836599894,15.0001249953332,15.0000366836452,""
-1056.20706677437,15.0000001088634,-1.94632759102769E-09,NaN,-2.43290948878462E-09,NaN,26.9516937746459,15.0001228174401,15.0000344997917,""
-1037.54298305511,15.0000001255383,-1.37483567699331E-09,NaN,-1.71854459624163E-09,NaN,26.9509249682568,15.0001206393427,15.0000323157333,""
-1018.88064956665,14.9999999778786,1.98823011468716E-09,NaN,2.48528764335895E-09,NaN,26.9626881409292,15.0001212935766,15.0000329700942,""
-1000.21656632423,14.9999998300052,5.40089198557865E-09,NaN,6.75111498197331E-09,NaN,26.9870562641856,15.0001219478719,15.0000336245164,""
-981.554233074188,15.0000000682776,5.52318392674242E-09,NaN,6.90397990842803E-09,NaN,27.0034036008626,15.0001193668962,15.0000310419982,""
-962.890149354935,15.000000307064,5.58721006721499E-09,NaN,6.98401258401873E-09,NaN,27.0116909618904,15.0001167856785,15.0000284592378,""
-944.227816104889,15.0000001876291,2.27338255839573E-09,NaN,2.84172819799466E-09,NaN,27.031377389942,15.0001128791431,15.0000245602678,""
-925.563732385635,15.0000000677067,-1.10079126342022E-09,NaN,-1.37598907927528E-09,NaN,27.0625223525984,15.0001089722412,15.0000206609321,""
-906.90139913559,15.0000000807643,-1.47965824428487E-09,NaN,-1.84957280535608E-09,NaN,27.0428996558715,15.0001013981203,15.0000130938498,""
-888.237315654755,15.0000000940074,-1.80514982100619E-09,NaN,-2.25643727625774E-09,NaN,26.9722763847479,15.000093823289,15.0000055260579,""
-869.57498216629,14.9999998723637,-4.77570689704085E-09,NaN,-5.96963362130107E-09,NaN,26.9660891152879,15.0000886884586,15.0000003949024,""
-850.910898685455,14.9999996503603,-7.79387271178527E-09,NaN,-9.74234088973158E-09,NaN,27.0246033512696,15.0000835531466,14.9999952632657,""
-832.248565196991,14.9999998936325,-6.19198403945761E-09,NaN,-7.73998004932201E-09,NaN,27.0560909502001,15.0000844805715,14.9999961925365,""
-813.584481716156,15.0000001376252,-4.50700314739116E-09,NaN,-5.63375393423895E-09,NaN,27.0604561582575,15.0000854080832,14.9999971218943,""
-794.92214846611,15.000000055376,-4.00582511027588E-09,NaN,-5.00728138784486E-09,NaN,27.0567417044987,15.0000892322351,15.0000009513148,""
-776.258064985275,14.9999999726115,-3.52592206089784E-09,NaN,-4.4074025761223E-09,NaN,27.044919538566,15.0000930567456,15.0000047810945,""
-757.595731735229,14.999999820062,-5.4692864708293E-09,NaN,-6.83660808853663E-09,NaN,27.0545442340531,15.0000973210086,15.0000090520307,""
-738.931648015976,14.9999996673857,-7.45663051433102E-09,NaN,-9.32078814291377E-09,NaN,27.0856821342996,15.0001015856715,15.0000133233675,""
-720.26931476593,15.0000000832158,-5.14721204321691E-09,NaN,-6.43401505402114E-09,NaN,27.0525669433304,15.0001018822861,15.0000136130817,""
-701.605231046677,15.0000005000341,-2.75966208541855E-09,NaN,-3.44957760677319E-09,NaN,26.9550232709455,15.0001021789285,15.000013902823,""
-682.942897796631,15.0000001057375,-2.67492768878134E-09,NaN,-3.34365961097667E-09,NaN,26.9208679433783,15.0001015581503,15.0000132901589,""
-664.278814315796,14.9999997100038,-2.6320794685502E-09,NaN,-3.29009933568776E-09,NaN,26.9502375980473,15.0001009373138,15.0000126774374,""
-645.616480827332,14.9999997885823,-4.15684322789008E-09,NaN,-5.1960540348626E-09,NaN,26.9886206194023,15.0001093725412,15.000021113426,""
