[1] "Exp-Zero"           "1.46e-04"           "2.17e-07"          
[4] "1.37e-04"           "1.84e-01"           "5.57e-01"          
[7] "SUFEX-Model2-GA.R0"
GA Opt
Q0=4.154e-05

GA | iter = 1 | Mean = -4.403173 | Best = -3.865456
GA | iter = 2 | Mean = -3.786313 | Best = -2.377401
GA | iter = 3 | Mean = -3.399793 | Best = -2.377401
GA | iter = 4 | Mean = -3.004952 | Best = -1.110822
GA | iter = 5 | Mean = -2.6757289 | Best = -0.6873565
GA | iter = 6 | Mean = -2.2234228 | Best = -0.4416947
GA | iter = 7 | Mean = -1.9267993 | Best = -0.3996634
GA | iter = 8 | Mean = -1.6435130 | Best = -0.3996634
GA | iter = 9 | Mean = -1.239058467 | Best = -0.001369767
GA | iter = 10 | Mean = -1.3126415 | Best =  0.6414938
GA | iter = 11 | Mean = -1.064456 | Best =  1.346456
GA | iter = 12 | Mean = -0.5683087 | Best =  1.3464558
GA | iter = 13 | Mean = -0.2211319 | Best =  1.3464558
GA | iter = 14 | Mean = -0.2198901 | Best =  2.2034065
GA | iter = 15 | Mean = -0.05740713 | Best =  2.20340655
GA | iter = 16 | Mean = 0.1837836 | Best = 2.2034065
GA | iter = 17 | Mean = 0.2842732 | Best = 2.2034065
GA | iter = 18 | Mean = 0.4915807 | Best = 2.3491699
GA | iter = 19 | Mean = 0.8171965 | Best = 2.5564641
GA | iter = 20 | Mean = 1.267148 | Best = 2.732182
GA | iter = 21 | Mean = 1.387889 | Best = 3.729462
GA | iter = 22 | Mean = 1.929055 | Best = 3.729462
GA | iter = 23 | Mean = 2.069937 | Best = 3.729462
GA | iter = 24 | Mean = 2.343488 | Best = 3.729462
GA | iter = 25 | Mean = 2.281571 | Best = 3.742621
GA | iter = 26 | Mean = 2.546274 | Best = 3.742621
GA | iter = 27 | Mean = 2.571020 | Best = 3.811646
GA | iter = 28 | Mean = 3.092327 | Best = 3.811646
GA | iter = 29 | Mean = 2.985226 | Best = 3.811646
GA | iter = 30 | Mean = 2.808741 | Best = 3.832178
GA | iter = 31 | Mean = 3.466365 | Best = 3.832178
GA | iter = 32 | Mean = 3.299400 | Best = 3.832178
GA | iter = 33 | Mean = 3.484591 | Best = 3.833485
GA | iter = 34 | Mean = 3.499771 | Best = 3.833485
GA | iter = 35 | Mean = 3.326714 | Best = 3.833485
GA | iter = 36 | Mean = 3.311598 | Best = 3.833485
GA | iter = 37 | Mean = 3.190792 | Best = 3.833485
GA | iter = 38 | Mean = 3.071384 | Best = 3.845090
GA | iter = 39 | Mean = 3.308679 | Best = 3.845090
GA | iter = 40 | Mean = 3.811762 | Best = 3.845090
GA | iter = 41 | Mean = 3.654719 | Best = 3.845090
GA | iter = 42 | Mean = 3.822054 | Best = 3.848755
GA | iter = 43 | Mean = 3.667129 | Best = 3.848755
GA | iter = 44 | Mean = 3.683286 | Best = 3.848755
GA | iter = 45 | Mean = 3.208457 | Best = 3.848755
GA | iter = 46 | Mean = 2.935023 | Best = 3.848755
GA | iter = 47 | Mean = 3.661349 | Best = 3.848755
GA | iter = 48 | Mean = 3.676334 | Best = 3.848755
GA | iter = 49 | Mean = 3.663019 | Best = 3.848755
GA | iter = 50 | Mean = 3.535035 | Best = 3.848755
GA | iter = 51 | Mean = 3.296445 | Best = 3.848755
GA | iter = 52 | Mean = 3.540135 | Best = 3.848755
GA | iter = 53 | Mean = 3.676313 | Best = 3.848755
GA | iter = 54 | Mean = 3.528807 | Best = 3.848755
GA | iter = 55 | Mean = 3.556804 | Best = 3.848755
GA | iter = 56 | Mean = 3.450605 | Best = 3.848755
GA | iter = 57 | Mean = 3.534343 | Best = 3.848755
GA | iter = 58 | Mean = 3.366266 | Best = 3.848755
GA | iter = 59 | Mean = 3.835115 | Best = 3.848755
GA | iter = 60 | Mean = 3.532184 | Best = 3.848755
GA | iter = 61 | Mean = 3.258736 | Best = 3.848755
GA | iter = 62 | Mean = 3.684220 | Best = 3.848755
GA | iter = 63 | Mean = 3.502468 | Best = 3.848755
GA | iter = 64 | Mean = 3.514596 | Best = 3.848755
GA | iter = 65 | Mean = 3.574893 | Best = 3.848755
GA | iter = 66 | Mean = 3.427922 | Best = 3.848755
GA | iter = 67 | Mean = 3.380669 | Best = 3.848755
GA | iter = 68 | Mean = 3.694083 | Best = 3.848755
GA | iter = 69 | Mean = 3.714200 | Best = 3.848755
GA | iter = 70 | Mean = 3.134208 | Best = 3.848755
GA | iter = 71 | Mean = 3.840838 | Best = 3.848755
GA | iter = 72 | Mean = 3.670568 | Best = 3.848755
GA | iter = 73 | Mean = 3.686344 | Best = 3.848755
GA | iter = 74 | Mean = 3.676268 | Best = 3.848755
GA | iter = 75 | Mean = 3.534504 | Best = 3.848755
GA | iter = 76 | Mean = 3.391056 | Best = 3.848755
GA | iter = 77 | Mean = 3.694710 | Best = 3.848755
GA | iter = 78 | Mean = 3.370278 | Best = 3.848755
GA | iter = 79 | Mean = 3.685556 | Best = 3.848755
GA | iter = 80 | Mean = 3.683711 | Best = 3.848755
GA | iter = 81 | Mean = 3.370613 | Best = 3.848755
GA | iter = 82 | Mean = 3.732827 | Best = 3.848755
GA | iter = 83 | Mean = 3.844584 | Best = 3.848755
GA | iter = 84 | Mean = 3.397428 | Best = 3.848755
GA | iter = 85 | Mean = 3.682328 | Best = 3.848755
GA | iter = 86 | Mean = 3.094336 | Best = 3.848755
GA | iter = 87 | Mean = 3.697673 | Best = 3.848755
GA | iter = 88 | Mean = 3.539449 | Best = 3.848755
GA | iter = 89 | Mean = 3.413058 | Best = 3.848755
GA | iter = 90 | Mean = 3.124624 | Best = 3.848755
GA | iter = 91 | Mean = 3.516163 | Best = 3.848755
GA | iter = 92 | Mean = 3.529935 | Best = 3.848755
GA | iter = 93 | Mean = 3.345398 | Best = 3.848755
GA | iter = 94 | Mean = 3.533279 | Best = 3.848755
GA | iter = 95 | Mean = 3.511873 | Best = 3.848755
GA | iter = 96 | Mean = 3.669147 | Best = 3.848755
GA | iter = 97 | Mean = 3.520937 | Best = 3.848755
GA | iter = 98 | Mean = 3.238305 | Best = 3.848755
GA | iter = 99 | Mean = 3.404949 | Best = 3.848755
GA | iter = 100 | Mean = 3.680511 | Best = 3.848755
GA | iter = 101 | Mean = 3.398329 | Best = 3.848755
GA | iter = 102 | Mean = 3.500378 | Best = 3.848755
GA | iter = 103 | Mean = 3.121182 | Best = 3.848755
GA | iter = 104 | Mean = 3.399667 | Best = 3.848755
GA | iter = 105 | Mean = 3.535004 | Best = 3.849512
GA | iter = 106 | Mean = 3.706609 | Best = 3.849512
GA | iter = 107 | Mean = 3.678404 | Best = 3.849512
GA | iter = 108 | Mean = 3.409667 | Best = 3.850349
GA | iter = 109 | Mean = 3.834986 | Best = 3.850349
GA | iter = 110 | Mean = 3.699472 | Best = 3.850349
GA | iter = 111 | Mean = 3.274048 | Best = 3.850349
GA | iter = 112 | Mean = 3.175783 | Best = 3.850349
GA | iter = 113 | Mean = 3.847304 | Best = 3.850349
GA | iter = 114 | Mean = 3.558222 | Best = 3.850349
GA | iter = 115 | Mean = 3.626227 | Best = 3.850349
GA | iter = 116 | Mean = 3.092929 | Best = 3.850349
GA | iter = 117 | Mean = 2.811615 | Best = 3.850349
GA | iter = 118 | Mean = 3.379568 | Best = 3.850349
GA | iter = 119 | Mean = 3.228425 | Best = 3.850349
GA | iter = 120 | Mean = 3.294215 | Best = 3.850349
GA | iter = 121 | Mean = 3.849814 | Best = 3.850349
GA | iter = 122 | Mean = 3.159859 | Best = 3.850349
GA | iter = 123 | Mean = 3.409317 | Best = 3.850349
GA | iter = 124 | Mean = 3.709385 | Best = 3.850349
GA | iter = 125 | Mean = 3.534912 | Best = 3.850349
GA | iter = 126 | Mean = 3.418989 | Best = 3.850349
GA | iter = 127 | Mean = 3.848394 | Best = 3.850349
GA | iter = 128 | Mean = 3.849462 | Best = 3.850349
GA | iter = 129 | Mean = 3.687925 | Best = 3.850349
GA | iter = 130 | Mean = 3.849826 | Best = 3.850349
GA | iter = 131 | Mean = 3.559857 | Best = 3.850349
GA | iter = 132 | Mean = 3.687839 | Best = 3.850349
GA | iter = 133 | Mean = 3.843020 | Best = 3.850349
GA | iter = 134 | Mean = 3.547197 | Best = 3.850349
GA | iter = 135 | Mean = 3.523195 | Best = 3.850349
GA | iter = 136 | Mean = 3.223798 | Best = 3.850349
GA | iter = 137 | Mean = 3.314964 | Best = 3.850349
GA | iter = 138 | Mean = 3.702783 | Best = 3.850349
GA | iter = 139 | Mean = 3.585617 | Best = 3.850349
GA | iter = 140 | Mean = 3.443995 | Best = 3.850349
GA | iter = 141 | Mean = 3.838129 | Best = 3.850349
GA | iter = 142 | Mean = 3.695349 | Best = 3.850349
GA | iter = 143 | Mean = 3.557664 | Best = 3.850349
GA | iter = 144 | Mean = 3.558267 | Best = 3.850349
GA | iter = 145 | Mean = 3.557373 | Best = 3.850349
GA | iter = 146 | Mean = 3.430918 | Best = 3.850349
GA | iter = 147 | Mean = 3.427903 | Best = 3.850349
GA | iter = 148 | Mean = 3.563199 | Best = 3.850349
GA | iter = 149 | Mean = 3.519368 | Best = 3.850349
GA | iter = 150 | Mean = 3.570180 | Best = 3.850349
GA | iter = 151 | Mean = 3.657836 | Best = 3.850349
GA | iter = 152 | Mean = 3.696676 | Best = 3.850349
GA | iter = 153 | Mean = 3.541544 | Best = 3.850349
GA | iter = 154 | Mean = 3.566015 | Best = 3.850349
GA | iter = 155 | Mean = 3.550050 | Best = 3.850349
GA | iter = 156 | Mean = 3.512787 | Best = 3.850349
GA | iter = 157 | Mean = 3.598520 | Best = 3.850349
GA | iter = 158 | Mean = 3.169507 | Best = 3.850349
GA | iter = 159 | Mean = 3.733953 | Best = 3.850349
GA | iter = 160 | Mean = 3.556788 | Best = 3.850349
GA | iter = 161 | Mean = 3.419283 | Best = 3.850349
GA | iter = 162 | Mean = 3.690597 | Best = 3.850349
GA | iter = 163 | Mean = 3.443762 | Best = 3.850349
GA | iter = 164 | Mean = 3.305258 | Best = 3.850349
GA | iter = 165 | Mean = 3.842290 | Best = 3.850363
GA | iter = 166 | Mean = 3.706800 | Best = 3.850363
GA | iter = 167 | Mean = 3.850231 | Best = 3.850363
GA | iter = 168 | Mean = 3.691158 | Best = 3.850449
GA | iter = 169 | Mean = 3.849923 | Best = 3.850564
GA | iter = 170 | Mean = 3.842659 | Best = 3.850683
GA | iter = 171 | Mean = 3.749340 | Best = 3.850683
GA | iter = 172 | Mean = 3.557791 | Best = 3.850683
GA | iter = 173 | Mean = 3.131614 | Best = 3.850683
GA | iter = 174 | Mean = 3.566607 | Best = 3.850683
GA | iter = 175 | Mean = 3.286812 | Best = 3.850683
GA | iter = 176 | Mean = 3.313360 | Best = 3.850683
GA | iter = 177 | Mean = 3.641289 | Best = 3.850683
GA | iter = 178 | Mean = 3.620084 | Best = 3.850683
GA | iter = 179 | Mean = 3.567335 | Best = 3.850683
GA | iter = 180 | Mean = 3.171166 | Best = 3.850683
GA | iter = 181 | Mean = 3.250860 | Best = 3.850683
GA | iter = 182 | Mean = 3.578485 | Best = 3.850683
GA | iter = 183 | Mean = 3.268554 | Best = 3.850683
GA | iter = 184 | Mean = 3.221738 | Best = 3.850683
GA | iter = 185 | Mean = 3.597474 | Best = 3.850683
GA | iter = 186 | Mean = 3.562006 | Best = 3.850683
GA | iter = 187 | Mean = 3.413856 | Best = 3.850683
GA | iter = 188 | Mean = 3.756208 | Best = 3.850683
GA | iter = 189 | Mean = 3.701892 | Best = 3.850683
GA | iter = 190 | Mean = 3.734777 | Best = 3.850683
GA | iter = 191 | Mean = 3.706707 | Best = 3.850796
GA | iter = 192 | Mean = 3.850566 | Best = 3.850796
GA | iter = 193 | Mean = 3.451544 | Best = 3.850807
GA | iter = 194 | Mean = 3.670422 | Best = 3.850807
GA | iter = 195 | Mean = 3.850605 | Best = 3.850807
GA | iter = 196 | Mean = 3.547670 | Best = 3.850807
GA | iter = 197 | Mean = 3.691271 | Best = 3.850807
GA | iter = 198 | Mean = 3.659837 | Best = 3.850807
GA | iter = 199 | Mean = 3.255332 | Best = 3.850807
GA | iter = 200 | Mean = 3.364618 | Best = 3.850807
GA | iter = 201 | Mean = 3.377543 | Best = 3.850807
GA | iter = 202 | Mean = 3.262914 | Best = 3.850807
GA | iter = 203 | Mean = 3.204303 | Best = 3.850807
GA | iter = 204 | Mean = 3.337280 | Best = 3.850807
GA | iter = 205 | Mean = 3.125914 | Best = 3.850807
GA | iter = 206 | Mean = 3.167922 | Best = 3.850807
GA | iter = 207 | Mean = 3.120117 | Best = 3.850807
GA | iter = 208 | Mean = 2.978963 | Best = 3.850807
GA | iter = 209 | Mean = 2.991935 | Best = 3.850807
GA | iter = 210 | Mean = 3.531097 | Best = 3.850807
GA | iter = 211 | Mean = 3.464848 | Best = 3.850807
GA | iter = 212 | Mean = 3.464809 | Best = 3.850807
GA | iter = 213 | Mean = 3.491623 | Best = 3.850807
GA | iter = 214 | Mean = 3.511162 | Best = 3.850807
GA | iter = 215 | Mean = 3.531225 | Best = 3.850807
GA | iter = 216 | Mean = 3.667175 | Best = 3.850807
GA | iter = 217 | Mean = 3.088432 | Best = 3.850807
GA | iter = 218 | Mean = 3.664819 | Best = 3.850807
GA | iter = 219 | Mean = 3.799597 | Best = 3.850807
