[1] "Exp-Zero"        "9.697245e-05"    "4.877849e-06"    "1.761698e-04"   
[5] "2.487360e-01"    "5.653460e-01"    "SUFEX-Model2.R0"
Nelder-Mead Opt
pQ0=4.578e+00

Step1  Qn=1.115e-05  pQn=4.952626  pQmin=4.577715
[1] "Quality: 2221 1.115256e-05 4.952626"
  pQ=4.952626  Q=1.115e-05  dQ=0.000015  [1] 6.877384e-05 9.935678e-07 2.344481e-04 4.604041e-01 3.334693e-01
Step2  Qn=1.213e-05  pQn=4.916210  pQmin=4.952626
Step3  Qn=9.607e-06  pQn=5.017390  pQmin=4.952626
[1] "Quality: 2221 9.607491e-06 5.017390"
  pQ=5.017390  Q=9.607e-06  dQ=0.000002  [1] 9.580430e-05 1.227943e-06 1.862430e-04 2.903154e-01 4.812403e-01
Step4  Qn=1.695e-05  pQn=4.770802  pQmin=5.017390
Step5  Qn=1.533e-05  pQn=4.814463  pQmin=5.017390
Step6  Qn=1.888e-05  pQn=4.723915  pQmin=5.017390
Step7  Qn=1.407e-05  pQn=4.851788  pQmin=5.017390
Step8  Qn=1.009e-05  pQn=4.996029  pQmin=5.017390
Step9  Qn=1.402e-05  pQn=4.853125  pQmin=5.017390
Step10  Qn=1.287e-05  pQn=4.890501  pQmin=5.017390
Step11  Qn=1.436e-05  pQn=4.842917  pQmin=5.017390
Step12  Qn=9.182e-06  pQn=5.037060  pQmin=5.017390
[1] "Quality: 2221 9.182057e-06 5.037060"
  pQ=5.037060  Q=9.182e-06  dQ=0.000000  [1]  1.123202e-04 -3.740731e-12  1.660870e-04  2.184849e-01  5.476363e-01
Step13  Qn=1.595e-05  pQn=4.797355  pQmin=5.037060
Step14  Qn=1.441e-05  pQn=4.841467  pQmin=5.037060
Step15  Qn=1.083e-05  pQn=4.965341  pQmin=5.037060
Step16  Qn=1.562e-05  pQn=4.806268  pQmin=5.037060
Step17  Qn=1.349e-05  pQn=4.869943  pQmin=5.037060
Step18  Qn=1.532e-05  pQn=4.814740  pQmin=5.037060
Step19  Qn=1.118e-05  pQn=4.951627  pQmin=5.037060
Step20  Qn=1.051e-05  pQn=4.978510  pQmin=5.037060
Step21  Qn=1.308e-05  pQn=4.883365  pQmin=5.037060
Step22  Qn=1.531e-05  pQn=4.815001  pQmin=5.037060
Step23  Qn=1.540e-05  pQn=4.812342  pQmin=5.037060
Step24  Qn=1.187e-05  pQn=4.925396  pQmin=5.037060
Step25  Qn=1.050e-05  pQn=4.978940  pQmin=5.037060
Step26  Qn=9.749e-06  pQn=5.011047  pQmin=5.037060
Step27  Qn=1.004e-05  pQn=4.998111  pQmin=5.037060
Step28  Qn=9.397e-06  pQn=5.027030  pQmin=5.037060
Step29  Qn=2.003e-05  pQn=4.698421  pQmin=5.037060
Step30  Qn=1.023e-05  pQn=4.990101  pQmin=5.037060
Step31  Qn=1.355e-05  pQn=4.868024  pQmin=5.037060
Step32  Qn=1.086e-05  pQn=4.964122  pQmin=5.037060
Step33  Qn=1.250e-05  pQn=4.902921  pQmin=5.037060
Step34  Qn=3.734e-05  pQn=4.427786  pQmin=5.037060
Step35  Qn=1.307e-05  pQn=4.883838  pQmin=5.037060
Step36  Qn=1.416e-05  pQn=4.848814  pQmin=5.037060
Step37  Qn=1.125e-05  pQn=4.948704  pQmin=5.037060
Step38  Qn=1.471e-05  pQn=4.832296  pQmin=5.037060
Step39  Qn=9.334e-06  pQn=5.029923  pQmin=5.037060
