[1] "Exp-Zero"        "1.520929e-04"    "7.267775e-07"    "1.353176e-04"   
[5] "1.598054e-01"    "5.976505e-01"    "SUFEX-Model2.R0"
Nelder-Mead Opt
Q0=5.072e-05

Step1  Qn=1.188e-05
[1] "Quality: 2221 1.188436e-05"
  Q=1.188e-05  dQ=0.000039  [1] 1.733409e-04 8.517490e-07 1.059833e-04 2.292143e-01 5.149948e-01
Step2  Qn=3.068e-05
Step3  Qn=5.495e-05
Step4  Qn=1.656e-05
Step5  Qn=3.094e-05
Step6  Qn=5.042e-05
Step7  Qn=1.859e-05
Step8  Qn=3.900e-05
Step9  Qn=1.567e-05
Step10  Qn=1.173e-05
[1] "Quality: 2221 1.172607e-05"
  Q=1.173e-05  dQ=0.000000  [1]  6.587662e-05  4.732787e-09 -2.289690e-04  5.077550e-01  2.812245e-01
Step11  Qn=1.516e-05
Step12  Qn=1.548e-05
Step13  Qn=4.051e-05
Step14  Qn=9.166e-06
[1] "Quality: 2221 9.165627e-06"
  Q=9.166e-06  dQ=0.000003  [1]  1.155510e-04 -8.331302e-07  1.647186e-04  2.125926e-01  5.563366e-01
Step15  Qn=1.555e-05
Step16  Qn=9.043e-06
[1] "Quality: 2221 9.043396e-06"
  Q=9.043e-06  dQ=0.000000  [1] 1.766959e-04 2.159703e-09 1.278657e-04 1.317926e-01 6.166039e-01
Step17  Qn=5.099e-05
Step18  Qn=4.194e-05
Step19  Qn=9.730e-06
Step20  Qn=4.641e-05
Step21  Qn=9.767e-06
Step22  Qn=1.498e-05
Step23  Qn=2.816e-05
Step24  Qn=1.496e-05
Step25  Qn=1.019e-05
Step26  Qn=1.141e-05
Step27  Qn=4.772e-05
Step28  Qn=2.958e-05
Step29  Qn=2.773e-05
Step30  Qn=1.568e-05
Step31  Qn=1.490e-05
Step32  Qn=1.540e-05
Step33  Qn=1.120e-05
Step34  Qn=1.325e-05
Step35  Qn=2.471e-05
Step36  Qn=1.538e-05
Step37  Qn=1.448e-05
Step38  Qn=5.365e-05
Step39  Qn=5.455e-05
Step40  Qn=3.680e-05
Step41  Qn=1.306e-05
Step42  Qn=1.502e-05
Step43  Qn=5.283e-05
Step44  Qn=1.596e-05
Step45  Qn=1.613e-05
Step46  Qn=4.503e-05
Step47  Qn=2.583e-05
Step48  Qn=1.045e-05
Step49  Qn=1.605e-05
Step50  Qn=1.328e-05
Step51  Qn=2.825e-05
Step52  Qn=9.057e-06
Step53  Qn=9.016e-06
[1] "Quality: 2221 9.016060e-06"
  Q=9.016e-06  dQ=0.000000  [1] 1.650261e-04 1.787522e-10 1.301565e-04 1.464403e-01 6.060406e-01
Step54  Qn=1.695e-05
Step55  Qn=1.550e-05
Step56  Qn=1.081e-05
Step57  Qn=2.798e-05
Step58  Qn=1.022e-05
Step59  Qn=1.588e-05
Step60  Qn=1.525e-05
Step61  Qn=3.190e-05
Step62  Qn=1.144e-05
Step63  Qn=1.242e-05
Step64  Qn=9.124e-06
Step65  Qn=2.651e-05
Step66  Qn=1.631e-05
Step67  Qn=1.050e-05
Step68  Qn=1.280e-05
Step69  Qn=1.524e-05
Step70  Qn=1.371e-05
Step71  Qn=1.676e-05
Step72  Qn=1.570e-05
Step73  Qn=3.995e-05
Step74  Qn=1.547e-05
Step75  Qn=1.561e-05
Step76  Qn=5.773e-05
Step77  Qn=4.321e-05
Step78  Qn=1.134e-05
Step79  Qn=1.566e-05
Step80  Qn=1.424e-05
Step81  Qn=1.461e-05
Step82  Qn=3.050e-05
Step83  Qn=4.302e-05
Step84  Qn=4.125e-05
Step85  Qn=1.511e-05
Step86  Qn=9.593e-06
Step87  Qn=1.238e-05
Step88  Qn=3.461e-05
Step89  Qn=1.492e-05
Step90  Qn=2.143e-05
Step91  Qn=2.443e-05
Step92  Qn=1.602e-05
Step93  Qn=9.038e-06
Step94  Qn=9.386e-06
Step95  Qn=3.150e-05
Step96  Qn=7.010e-05
Step97  Qn=9.552e-06
Step98  Qn=1.271e-05
Step99  Qn=4.284e-05
Step100  Qn=9.569e-06
Step101  Qn=2.431e-05
Step102  Qn=3.370e-05
Step103  Qn=1.557e-05
Step104  Qn=1.628e-05
Step105  Qn=1.094e-05
Step106  Qn=1.539e-05
Step107  Qn=1.317e-05
Step108  Qn=1.774e-05
Step109  Qn=1.382e-05
Step110  Qn=1.248e-05
Step111  Qn=9.984e-06
Step112  Qn=5.822e-05
Step113  Qn=1.304e-05
Step114  Qn=2.633e-05
Step115  Qn=1.551e-05
Step116  Qn=1.439e-05
Step117  Qn=2.934e-05
Step118  Qn=1.573e-05
Step119  Qn=1.024e-05
Step120  Qn=6.309e-05
Step121  Qn=1.758e-05
Step122  Qn=2.644e-05
Step123  Qn=9.671e-06
Step124  Qn=1.952e-05
Step125  Qn=1.440e-05
Step126  Qn=1.574e-05
Step127  Qn=1.610e-05
Step128  Qn=1.024e-05
