[1] "Exp-Zero"             "1.520929e-04"         "7.267775e-07"        
[4] "1.353176e-04"         "1.598054e-01"         "5.976505e-01"        
[7] "SUFEX-Model2-SANN.R0"
SANN Opt
Q0=5.072e-05

Step1  Qn=4.528e-05
[1] "Quality: 2221 4.528059e-05"
  Q=4.528e-05  dQ=0.000005  [1] 1.915191e-04 6.920407e-07 1.374772e-04 1.856901e-01 1.550065e-01
Step2  Qn=5.348e-05
Step3  Qn=3.747e-05
[1] "Quality: 2221 3.747147e-05"
  Q=3.747e-05  dQ=0.000008  [1] 1.469049e-04 7.549101e-07 1.035142e-04 2.174480e-01 1.895704e-01
Step4  Qn=5.592e-05
Step5  Qn=2.973e-05
[1] "Quality: 2221 2.973330e-05"
  Q=2.973e-05  dQ=0.000008  [1] 8.620575e-05 4.051176e-07 1.395064e-04 2.620073e-01 2.342247e-01
Step6  Qn=1.991e-05
[1] "Quality: 2221 1.991115e-05"
  Q=1.991e-05  dQ=0.000010  [1] 1.167843e-04 5.346872e-07 1.416608e-04 3.781853e-01 2.137010e-01
Step7  Qn=2.588e-05
Step8  Qn=4.887e-05
Step9  Qn=2.082e-05
Step10  Qn=2.356e-05
Step11  Qn=2.511e-05
Step12  Qn=2.125e-05
Step13  Qn=2.257e-05
Step14  Qn=4.397e-05
Step15  Qn=2.121e-05
Step16  Qn=4.208e-05
Step17  Qn=2.860e-05
Step18  Qn=3.166e-05
Step19  Qn=1.495e-05
[1] "Quality: 2221 1.495358e-05"
  Q=1.495e-05  dQ=0.000005  [1] 8.730098e-05 3.547902e-07 8.707565e-05 4.923845e-01 3.052923e-01
Step20  Qn=4.944e-05
Step21  Qn=2.415e-05
Step22  Qn=3.678e-05
Step23  Qn=2.125e-05
Step24  Qn=1.819e-05
Step25  Qn=8.563e-05
Step26  Qn=1.682e-05
Step27  Qn=2.346e-05
Step28  Qn=1.813e-05
Step29  Qn=1.656e-05
Step30  Qn=1.594e-05
Step31  Qn=4.468e-05
Step32  Qn=2.214e-05
Step33  Qn=1.403e-05
[1] "Quality: 2221 1.403056e-05"
  Q=1.403e-05  dQ=0.000001  [1] 9.363595e-05 2.137738e-07 1.134487e-04 3.369929e-01 3.460717e-01
Step34  Qn=1.293e-05
[1] "Quality: 2221 1.292527e-05"
  Q=1.293e-05  dQ=0.000001  [1] 6.259191e-05 2.448570e-07 1.380826e-04 4.802962e-01 3.303635e-01
Step35  Qn=3.450e-05
Step36  Qn=1.908e-05
Step37  Qn=1.699e-05
Step38  Qn=4.149e-05
Step39  Qn=4.707e-05
Step40  Qn=1.873e-05
Step41  Qn=4.077e-05
Step42  Qn=3.245e-05
Step43  Qn=1.557e-05
Step44  Qn=2.225e-05
Step45  Qn=2.027e-05
Step46  Qn=1.549e-05
Step47  Qn=2.953e-05
Step48  Qn=1.312e-05
Step49  Qn=3.111e-05
Step50  Qn=3.381e-05
Step51  Qn=4.520e-05
Step52  Qn=1.846e-05
Step53  Qn=1.326e-05
Step54  Qn=1.852e-05
Step55  Qn=1.407e-05
Step56  Qn=2.082e-05
Step57  Qn=1.706e-05
Step58  Qn=2.134e-05
Step59  Qn=2.594e-05
Step60  Qn=3.421e-05
Step61  Qn=6.278e-05
Step62  Qn=1.455e-05
Step63  Qn=5.411e-05
Step64  Qn=1.307e-05
Step65  Qn=1.997e-05
Step66  Qn=1.536e-05
Step67  Qn=1.542e-05
Step68  Qn=3.244e-05
Step69  Qn=2.455e-05
Step70  Qn=2.829e-05
Step71  Qn=1.955e-05
Step72  Qn=2.927e-05
Step73  Qn=5.754e-05
Step74  Qn=1.987e-05
Step75  Qn=2.439e-05
Step76  Qn=2.209e-05
Step77  Qn=2.039e-05
Step78  Qn=1.676e-05
Step79  Qn=1.885e-05
Step80  Qn=1.524e-05
Step81  Qn=4.962e-05
Step82  Qn=1.242e-05
[1] "Quality: 2221 1.241910e-05"
  Q=1.242e-05  dQ=0.000001  [1] 9.129710e-05 2.492821e-07 2.070987e-04 3.688217e-01 3.096918e-01
Step83  Qn=1.931e-05
Step84  Qn=1.579e-05
Step85  Qn=1.262e-05
Step86  Qn=3.139e-05
Step87  Qn=2.838e-05
Step88  Qn=1.542e-05
Step89  Qn=2.271e-05
Step90  Qn=1.232e-05
[1] "Quality: 2221 1.231674e-05"
  Q=1.232e-05  dQ=0.000000  [1] 7.647303e-05 1.865384e-07 2.320734e-04 4.664537e-01 2.693394e-01
Step91  Qn=1.273e-05
Step92  Qn=1.488e-05
Step93  Qn=1.361e-05
Step94  Qn=1.776e-05
Step95  Qn=1.676e-05
Step96  Qn=1.411e-05
Step97  Qn=3.484e-05
Step98  Qn=1.327e-05
Step99  Qn=3.706e-05
Step100  Qn=1.988e-05
Step101  Qn=2.247e-05
Step102  Qn=2.368e-05
Step103  Qn=8.142e-05
Step104  Qn=2.094e-05
Step105  Qn=2.449e-05
Step106  Qn=1.293e-05
Step107  Qn=2.228e-05
Step108  Qn=3.254e-05
Step109  Qn=1.678e-05
Step110  Qn=3.199e-05
Step111  Qn=1.707e-05
Step112  Qn=4.978e-05
Step113  Qn=1.518e-05
Step114  Qn=1.911e-05
Step115  Qn=3.337e-05
Step116  Qn=1.748e-05
Step117  Qn=4.296e-05
Step118  Qn=1.900e-05
Step119  Qn=3.614e-05
Step120  Qn=2.695e-05
Step121  Qn=5.677e-05
Step122  Qn=5.305e-05
Step123  Qn=1.754e-05
Step124  Qn=4.794e-05
Step125  Qn=1.323e-05
Step126  Qn=1.903e-05
Step127  Qn=1.404e-05
Step128  Qn=1.882e-05
Step129  Qn=1.397e-05
Step130  Qn=2.004e-05
Step131  Qn=1.523e-05
Step132  Qn=2.722e-05
Step133  Qn=1.443e-05
Step134  Qn=3.134e-05
Step135  Qn=2.148e-05
Step136  Qn=1.836e-05
Step137  Qn=1.436e-05
Step138  Qn=1.669e-05
Step139  Qn=3.064e-05
Step140  Qn=3.226e-05
Step141  Qn=1.680e-05
Step142  Qn=2.802e-05
Step143  Qn=2.125e-05
Step144  Qn=3.039e-05
Step145  Qn=1.640e-05
Step146  Qn=2.551e-05
Step147  Qn=2.699e-05
Step148  Qn=3.843e-05
Step149  Qn=1.413e-05
Step150  Qn=3.060e-05
Step151  Qn=1.992e-05
Step152  Qn=1.822e-05
Step153  Qn=1.121e-05
[1] "Quality: 2221 1.121205e-05"
  Q=1.121e-05  dQ=0.000001  [1] 6.315350e-05 2.456427e-07 3.110149e-04 4.415643e-01 3.661621e-01
Step154  Qn=3.312e-05
Step155  Qn=4.121e-05
Step156  Qn=1.949e-05
Step157  Qn=2.008e-05
Step158  Qn=1.427e-05
Step159  Qn=2.345e-05
Step160  Qn=1.385e-05
Step161  Qn=1.772e-05
Step162  Qn=1.640e-05
Step163  Qn=1.897e-05
Step164  Qn=1.551e-05
Step165  Qn=1.228e-05
Step166  Qn=4.363e-05
Step167  Qn=2.455e-05
Step168  Qn=1.652e-05
Step169  Qn=2.102e-05
Step170  Qn=1.145e-05
Step171  Qn=1.141e-05
Step172  Qn=1.997e-05
Step173  Qn=1.318e-05
Step174  Qn=1.330e-05
Step175  Qn=2.956e-05
Step176  Qn=1.364e-05
Step177  Qn=2.614e-05
Step178  Qn=2.479e-05
Step179  Qn=1.155e-05
Step180  Qn=4.534e-05
Step181  Qn=2.706e-05
Step182  Qn=1.647e-05
Step183  Qn=1.240e-05
Step184  Qn=1.818e-05
Step185  Qn=3.888e-05
Step186  Qn=1.703e-05
Step187  Qn=1.930e-05
Step188  Qn=2.639e-05
Step189  Qn=1.177e-05
Step190  Qn=4.389e-05
Step191  Qn=1.503e-05
Step192  Qn=1.980e-05
Step193  Qn=1.411e-05
Step194  Qn=1.718e-05
Step195  Qn=1.395e-05
Step196  Qn=1.280e-05
Step197  Qn=1.196e-05
Step198  Qn=1.054e-05
[1] "Quality: 2221 1.054269e-05"
  Q=1.054e-05  dQ=0.000001  [1] 9.201682e-05 3.524428e-07 1.904391e-04 3.522708e-01 4.396334e-01
Step199  Qn=1.350e-05
Step200  Qn=3.210e-05
Step201  Qn=1.673e-05
Step202  Qn=1.034e-05
[1] "Quality: 2221 1.033705e-05"
  Q=1.034e-05  dQ=0.000000  [1] 1.111224e-04 3.555249e-07 2.481819e-04 2.074489e-01 5.034789e-01
Step203  Qn=2.547e-05
Step204  Qn=4.347e-05
Step205  Qn=1.335e-05
Step206  Qn=1.207e-05
Step207  Qn=2.392e-05
Step208  Qn=1.486e-05
Step209  Qn=1.217e-05
Step210  Qn=1.199e-05
Step211  Qn=2.445e-05
Step212  Qn=1.200e-05
Step213  Qn=1.385e-05
Step214  Qn=2.002e-05
Step215  Qn=1.134e-05
Step216  Qn=1.658e-05
Step217  Qn=5.245e-05
Step218  Qn=2.058e-05
Step219  Qn=1.415e-05
Step220  Qn=3.104e-05
Step221  Qn=1.449e-05
Step222  Qn=2.407e-05
Step223  Qn=1.738e-05
Step224  Qn=2.004e-05
Step225  Qn=1.003e-05
[1] "Quality: 2221 1.002976e-05"
  Q=1.003e-05  dQ=0.000000  [1] 1.525640e-04 4.861769e-07 1.691388e-04 1.816669e-01 5.293585e-01
Step226  Qn=1.343e-05
Step227  Qn=2.160e-05
Step228  Qn=1.655e-05
Step229  Qn=2.505e-05
Step230  Qn=9.807e-06
[1] "Quality: 2221 9.806823e-06"
  Q=9.807e-06  dQ=0.000000  [1] 1.589613e-04 2.801400e-07 1.535466e-04 1.239675e-01 5.642163e-01
Step231  Qn=1.195e-05
Step232  Qn=2.105e-05
Step233  Qn=1.218e-05
Step234  Qn=2.377e-05
Step235  Qn=1.159e-05
Step236  Qn=1.711e-05
Step237  Qn=2.678e-05
Step238  Qn=1.193e-05
Step239  Qn=3.226e-05
Step240  Qn=1.751e-05
Step241  Qn=1.426e-05
Step242  Qn=3.367e-05
Step243  Qn=2.237e-05
Step244  Qn=3.393e-05
Step245  Qn=9.451e-06
[1] "Quality: 2221 9.450922e-06"
  Q=9.451e-06  dQ=0.000000  [1] 2.183454e-04 1.514454e-07 1.199453e-04 8.545862e-02 6.590554e-01
Step246  Qn=2.194e-05
Step247  Qn=4.119e-05
Step248  Qn=2.114e-05
Step249  Qn=2.617e-05
Step250  Qn=1.881e-05
Step251  Qn=4.533e-05
Step252  Qn=2.362e-05
Step253  Qn=1.309e-05
Step254  Qn=2.000e-05
Step255  Qn=1.300e-05
Step256  Qn=1.671e-05
Step257  Qn=1.648e-05
Step258  Qn=3.231e-05
Step259  Qn=2.595e-05
Step260  Qn=1.130e-05
Step261  Qn=1.313e-05
Step262  Qn=1.108e-05
Step263  Qn=4.058e-05
Step264  Qn=2.226e-05
Step265  Qn=3.158e-05
Step266  Qn=3.256e-05
Step267  Qn=1.948e-05
Step268  Qn=2.634e-05
Step269  Qn=1.219e-05
Step270  Qn=1.235e-05
Step271  Qn=2.018e-05
Step272  Qn=2.692e-05
Step273  Qn=2.432e-05
Step274  Qn=1.345e-05
Step275  Qn=2.208e-05
Step276  Qn=1.100e-05
Step277  Qn=3.882e-05
Step278  Qn=1.150e-05
Step279  Qn=1.007e-05
Step280  Qn=1.365e-05
Step281  Qn=1.392e-05
Step282  Qn=1.625e-05
Step283  Qn=9.909e-06
Step284  Qn=1.853e-05
Step285  Qn=2.347e-05
Step286  Qn=2.906e-05
Step287  Qn=1.947e-05
Step288  Qn=2.003e-05
Step289  Qn=2.301e-05
Step290  Qn=2.080e-05
Step291  Qn=7.091e-05
Step292  Qn=2.712e-05
Step293  Qn=9.901e-06
Step294  Qn=1.847e-05
Step295  Qn=1.093e-05
Step296  Qn=2.439e-05
Step297  Qn=4.646e-05
Step298  Qn=1.875e-05
Step299  Qn=3.005e-05
Step300  Qn=9.690e-06
Step301  Qn=1.381e-05
Step302  Qn=4.194e-05
Step303  Qn=3.107e-05
Step304  Qn=2.046e-05
Step305  Qn=1.466e-05
Step306  Qn=2.994e-05
Step307  Qn=2.619e-05
Step308  Qn=1.981e-05
Step309  Qn=1.559e-05
Step310  Qn=1.144e-05
Step311  Qn=1.326e-05
Step312  Qn=1.816e-05
Step313  Qn=1.766e-05
Step314  Qn=4.250e-05
Step315  Qn=3.866e-05
Step316  Qn=3.548e-05
Step317  Qn=1.725e-05
Step318  Qn=1.383e-05
Step319  Qn=3.539e-05
Step320  Qn=1.088e-05
Step321  Qn=9.652e-06
Step322  Qn=3.913e-05
Step323  Qn=1.416e-05
Step324  Qn=1.117e-05
Step325  Qn=4.100e-05
Step326  Qn=4.066e-05
Step327  Qn=1.444e-05
Step328  Qn=2.035e-05
Step329  Qn=2.710e-05
Step330  Qn=1.518e-05
Step331  Qn=2.030e-05
Step332  Qn=1.522e-05
Step333  Qn=2.874e-05
Step334  Qn=2.206e-05
Step335  Qn=1.316e-05
Step336  Qn=2.293e-05
Step337  Qn=1.982e-05
Step338  Qn=1.686e-05
Step339  Qn=2.821e-05
Step340  Qn=2.017e-05
Step341  Qn=4.635e-05
Step342  Qn=1.194e-05
Step343  Qn=2.239e-05
Step344  Qn=1.740e-05
Step345  Qn=2.884e-05
Step346  Qn=1.762e-05
Step347  Qn=1.568e-05
Step348  Qn=1.532e-05
Step349  Qn=1.889e-05
Step350  Qn=1.589e-05
Step351  Qn=1.337e-05
Step352  Qn=2.055e-05
Step353  Qn=2.805e-05
Step354  Qn=9.655e-06
Step355  Qn=4.440e-05
Step356  Qn=2.106e-05
Step357  Qn=2.334e-05
Step358  Qn=1.216e-05
Step359  Qn=2.339e-05
Step360  Qn=1.128e-05
Step361  Qn=1.071e-05
Step362  Qn=1.251e-05
Step363  Qn=1.656e-05
Step364  Qn=5.128e-05
Step365  Qn=1.188e-05
Step366  Qn=1.539e-05
Step367  Qn=1.253e-05
Step368  Qn=1.592e-05
Step369  Qn=1.572e-05
Step370  Qn=1.359e-05
Step371  Qn=1.424e-05
Step372  Qn=1.150e-05
Step373  Qn=2.757e-05
Step374  Qn=1.353e-05
Step375  Qn=1.169e-05
Step376  Qn=3.908e-05
Step377  Qn=1.890e-05
Step378  Qn=1.453e-05
Step379  Qn=1.159e-05
Step380  Qn=2.492e-05
Step381  Qn=2.034e-05
Step382  Qn=1.435e-05
Step383  Qn=1.131e-05
Step384  Qn=1.581e-05
Step385  Qn=1.607e-05
Step386  Qn=1.695e-05
Step387  Qn=3.258e-05
Step388  Qn=2.550e-05
Step389  Qn=2.366e-05
Step390  Qn=1.285e-05
Step391  Qn=3.427e-05
Step392  Qn=1.200e-05
Step393  Qn=1.237e-05
Step394  Qn=6.037e-05
Step395  Qn=1.294e-05
Step396  Qn=1.307e-05
Step397  Qn=3.001e-05
Step398  Qn=1.910e-05
Step399  Qn=2.447e-05
Step400  Qn=3.529e-05
Step401  Qn=1.457e-05
Step402  Qn=2.219e-05
Step403  Qn=1.694e-05
Step404  Qn=1.085e-05
Step405  Qn=1.896e-05
Step406  Qn=4.339e-05
Step407  Qn=2.671e-05
Step408  Qn=1.341e-05
Step409  Qn=2.037e-05
Step410  Qn=1.629e-05
Step411  Qn=1.144e-05
Step412  Qn=1.867e-05
Step413  Qn=2.610e-05
Step414  Qn=4.636e-05
Step415  Qn=1.357e-05
Step416  Qn=2.324e-05
Step417  Qn=2.097e-05
Step418  Qn=2.596e-05
Step419  Qn=2.322e-05
Step420  Qn=3.339e-05
Step421  Qn=1.768e-05
Step422  Qn=2.369e-05
