; v1; ; ; ; 
t; M+H; M+Na; M+K; Sum; 
0030;  0.0;  0.0;  0.0;  0.0; 
0060;  0.0;  0.0;  0.0;  0.0; 
0120;  0.0;  0.0;  0.0;  0.0; 
0150;  0.0;  0.0;  0.0;  0.0; 
0180;  0.0;  0.0;  0.0;  0.0; 
0240;  0.0;  0.0;  0.0;  0.0; 
0300;  0.0;  0.0;  0.0;  0.0; 
0360;  0.0;  0.0;  0.0;  0.0; 
0450;  0.0;  0.0;  0.0;  0.0; 
0540;  0.0;  0.0;  0.0;  0.0; 
0600;  0.0;  0.0;  0.0;  0.0; 
0750;  0.0;  0.0;  0.0;  0.0; 
0900;  0.0;  0.0;  0.0;  0.0; 
1050;  0.0;  0.0;  0.0;  0.0; 
1200;  0.0;  0.0;  0.0;  0.0; 
