; v1; ; ; ; v2; ; ; ; v3; ; ; ; v4; ; ; ; 
t; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; 
0030;  2538.6;  0.0;  0.0;  2538.6;  2539.1;  0.0;  0.0;  2539.1;  0.0;  0.0;  0.0;  0.0;  1683.5;  0.0;  0.0;  1683.5; 
0060;  2509.3;  487.0;  0.0;  2996.3;  2277.8;  0.0;  0.0;  2277.8;  0.0;  0.0;  0.0;  0.0;  820.6;  0.0;  0.0;  820.6; 
0120;  4099.7;  0.0;  0.0;  4099.7;  4844.9;  0.0;  0.0;  4844.9;  0.0;  0.0;  0.0;  0.0;  1032.1;  0.0;  0.0;  1032.1; 
0150;  5467.3;  0.0;  0.0;  5467.3;  3646.6;  0.0;  0.0;  3646.6;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 
0240;  8998.1;  0.0;  0.0;  8998.1;  6580.1;  0.0;  0.0;  6580.1;  3269.8;  0.0;  0.0;  3269.8;  0.0;  0.0;  0.0;  0.0; 
0300;  8105.4;  0.0;  0.0;  8105.4;  6367.7;  0.0;  0.0;  6367.7;  2451.0;  0.0;  0.0;  2451.0;  0.0;  0.0;  0.0;  0.0; 
0360;  6872.8;  0.0;  0.0;  6872.8;  1513.2;  0.0;  0.0;  1513.2;  787.7;  0.0;  0.0;  787.7;  611.0;  0.0;  0.0;  611.0; 
0450;  10905.3;  1117.8;  0.0;  12023.1;  7018.5;  1768.2;  0.0;  8786.7;  789.5;  0.0;  0.0;  789.5;  1765.8;  0.0;  0.0;  1765.8; 
0540;  12766.2;  1325.9;  0.0;  14092.1;  10586.2;  1062.5;  0.0;  11648.7;  6288.5;  1610.0;  0.0;  7898.5;  1487.0;  0.0;  0.0;  1487.0; 
0600;  13197.1;  951.8;  0.0;  14148.9;  10819.6;  1651.5;  0.0;  12471.1;  9881.3;  1371.0;  0.0;  11252.3;  1342.5;  0.0;  0.0;  1342.5; 
0750;  14533.2;  1445.4;  0.0;  15978.6;  12734.0;  922.2;  0.0;  13656.2;  8491.8;  1329.4;  0.0;  9821.2;  4565.6;  412.7;  0.0;  4978.3; 
0900;  17565.2;  1654.5;  0.0;  19219.7;  15368.9;  1984.6;  0.0;  17353.5;  7844.3;  572.7;  0.0;  8416.9;  10572.8;  1742.8;  0.0;  12315.6; 
1050;  18267.6;  1320.7;  0.0;  19588.3;  16314.1;  2495.8;  0.0;  18809.9;  3009.3;  0.0;  0.0;  3009.3;  13008.6;  1730.3;  0.0;  14738.9; 
1200;  18612.1;  2495.4;  0.0;  21107.5;  16385.0;  1026.5;  0.0;  17411.5;  11275.0;  0.0;  0.0;  11275.0;  5696.9;  1567.5;  0.0;  7264.5; 
