; v1; ; ; ; v2; ; ; ; v3; ; ; ; v4; ; ; ; v5; ; ; ;
C; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum;
L2;  641761.9;  909665.8;  127266.1;  1678693.8;  634154.4;  922830.4;  126417.8;  1683402.6;  646135.6;  891310.2;  123487.5;  1660933.3;  606459.4;  838907.7;  120200.5;  1565567.5;  659159.0;  862735.3;  126275.0;  1648169.3; 
L3;  428622.3;  843596.8;  106900.0;  1379119.2;  439918.0;  862645.8;  109840.0;  1412403.8;  417896.4;  845032.8;  107441.0;  1370370.2;  420746.0;  792484.4;  102781.0;  1316011.4;  424477.1;  786790.5;  108274.4;  1319542.0; 
L4;  208700.4;  516062.3;  90305.9;  815068.6;  234160.1;  520383.8;  92679.4;  847223.3;  214108.4;  484321.9;  83575.7;  782006.0;  228693.4;  508984.7;  79186.7;  816864.8;  231235.9;  526110.7;  80652.0;  837998.6; 
L5;  222629.3;  478922.9;  93841.3;  795393.5;  229253.4;  499233.2;  89297.0;  817783.6;  216459.5;  513169.6;  88493.4;  818122.4;  207954.8;  506902.0;  81999.5;  796856.3;  225331.5;  533534.0;  82236.7;  841102.2; 
L6;  175184.0;  359190.7;  72104.4;  606479.1;  163199.4;  342826.5;  70344.1;  576369.9;  156929.3;  335331.4;  71885.7;  564146.4;  155822.6;  328784.0;  58259.8;  542866.4;  179610.7;  365745.7;  63567.3;  608923.7; 
L7;  131545.4;  216620.8;  49240.1;  397406.3;  135248.7;  226541.7;  49921.6;  411712.1;  131400.3;  225812.6;  50773.5;  407986.4;  122563.8;  212701.5;  42327.9;  377593.1;  146547.2;  220443.1;  41957.7;  408948.0; 
L8;  100395.7;  140168.8;  33454.6;  274019.1;  97759.5;  144341.5;  34812.5;  276913.5;  100551.7;  147243.3;  34298.7;  282093.6;  96485.9;  142955.8;  30612.9;  270054.6;  107318.1;  140514.8;  26614.8;  274447.7; 
L9;  74171.5;  82661.8;  25167.7;  182001.1;  82571.0;  88972.8;  25645.7;  197189.6;  69295.5;  81237.5;  21618.4;  172151.4;  80910.2;  81663.2;  21022.2;  183595.6;  78718.3;  81472.6;  18833.4;  179024.2; 
L10;  58087.5;  49401.1;  16213.5;  123702.1;  61213.7;  56425.5;  19366.1;  137005.4;  47920.7;  44939.6;  13333.7;  106194.1;  63055.4;  53342.7;  16371.7;  132769.8;  72999.6;  66558.5;  17404.3;  156962.3; 
L11;  40196.5;  26933.6;  9919.4;  77049.5;  41590.9;  29732.3;  10351.1;  81674.4;  37015.0;  28582.1;  10471.7;  76068.8;  42522.1;  28199.5;  8611.4;  79333.0;  40796.7;  24292.2;  6265.1;  71353.9; 
L12;  21554.8;  13821.3;  2507.7;  37883.8;  20433.7;  15417.0;  3137.2;  38987.8;  20450.3;  12751.6;  3546.5;  36748.4;  21178.0;  12677.0;  3424.8;  37279.8;  23854.8;  13022.6;  1069.0;  37946.4; 
