; v1; ; ; ; v2; ; ; ; v3; ; ; ; v4; ; ; ; v5; ; ; ;
t; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum;
30;  0.0;  11140.5;  2392.6;  13533.1;  0.0;  9732.4;  0.0;  9732.4;  0.0;  7642.6;  0.0;  7642.6;  771.4;  7444.1;  0.0;  8215.5;  0.0;  12060.7;  792.8;  12853.5; 
60;  0.0;  13136.8;  1090.2;  14227.1;  0.0;  10824.9;  0.0;  10824.9;  0.0;  6600.5;  0.0;  6600.5;  0.0;  43679.2;  4140.3;  47819.5;  550.5;  51173.9;  4012.6;  55737.0; 
120;  0.0;  5041.7;  0.0;  5041.7;  0.0;  1326.5;  0.0;  1326.5;  0.0;  2301.4;  0.0;  2301.4;  0.0;  62359.6;  3845.3;  66204.9;  0.0;  53923.5;  3581.5;  57504.9; 
150;  0.0;  9427.5;  0.0;  9427.5;  0.0;  7105.3;  0.0;  7105.3;  0.0;  6443.8;  0.0;  6443.8;  0.0;  66021.9;  6512.1;  72534.0;  567.7;  48639.2;  3137.6;  52344.4; 
180;  0.0;  6245.2;  0.0;  6245.2;  0.0;  2965.8;  0.0;  2965.8;  0.0;  3150.0;  0.0;  3150.0;  0.0;  56471.4;  4722.0;  61193.4;  638.7;  57447.7;  3169.8;  61256.1; 
240;  0.0;  4267.5;  0.0;  4267.5;  0.0;  3282.3;  0.0;  3282.3;  0.0;  1048.1;  0.0;  1048.1;  0.0;  55838.7;  4020.9;  59859.6;  0.0;  55422.9;  4208.6;  59631.5; 
300;  0.0;  5693.4;  0.0;  5693.4;  0.0;  2620.5;  0.0;  2620.5;  0.0;  0.0;  0.0;  0.0;  0.0;  59890.8;  3694.4;  63585.2;  0.0;  57328.3;  3609.2;  60937.5; 
450;  0.0;  2986.3;  0.0;  2986.3;  0.0;  2486.8;  0.0;  2486.8;  0.0;  3219.5;  0.0;  3219.5;  0.0;  63211.2;  3806.0;  67017.2;  0.0;  52227.9;  1620.7;  53848.6; 
600;  0.0;  7059.7;  0.0;  7059.7;  0.0;  5709.6;  0.0;  5709.6;  0.0;  3055.9;  0.0;  3055.9;  0.0;  63258.1;  4686.6;  67944.7;  521.1;  64958.8;  3342.2;  68822.0; 
750;  0.0;  3278.0;  0.0;  3278.0;  0.0;  5674.6;  0.0;  5674.6;  0.0;  4163.0;  0.0;  4163.0;  0.0;  32025.5;  0.0;  32025.5;  565.6;  62190.2;  3654.7;  66410.5; 
900;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  42468.2;  3179.6;  45647.8;  1197.3;  44184.6;  2865.4;  48247.2; 
