; v1; ; ; ; v2; ; ; ; v3; ; ; ;
t; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; 
30;  1208.1;  0.0;  0.0;  1208.1;  1157.8;  0.0;  0.0;  1157.8;  6343.3;  0.0;  0.0;  6343.3; 
60;  2916.0;  0.0;  0.0;  2916.0;  3312.2;  0.0;  0.0;  3312.2;  1131.0;  0.0;  0.0;  1131.0; 
150;  6548.8;  357.9;  0.0;  6906.7;  7111.4;  0.0;  0.0;  7111.4;  3295.1;  0.0;  0.0;  3295.1; 
300;  11887.3;  1850.7;  0.0;  13738.0;  9297.3;  0.0;  0.0;  9297.3;  9850.8;  1576.4;  213.1;  11640.2; 
450;  26574.2;  1221.2;  0.0;  27795.4;  31447.2;  4111.4;  0.0;  35558.7;  24259.3;  1564.2;  0.0;  25823.6; 
600;  44825.5;  6937.6;  0.0;  51763.1;  46027.1;  6742.0;  0.0;  52769.1;  11467.8;  1549.6;  0.0;  13017.4; 
750;  50554.7;  6518.5;  0.0;  57073.1;  59530.7;  6814.4;  0.0;  66345.1;  20609.7;  2272.9;  0.0;  22882.6; 
900;  80128.4;  7359.5;  0.0;  87487.9;  74201.6;  8046.9;  0.0;  82248.5;  53950.2;  2190.9;  0.0;  56141.1; 
1050;  73587.7;  8404.8;  0.0;  81992.5;  67611.3;  6671.4;  0.0;  74282.6;  39406.7;  2133.6;  0.0;  41540.3; 
1200;  76537.3;  8463.0;  0.0;  85000.4;  71073.8;  8042.1;  0.0;  79115.9;  37706.4;  1869.5;  0.0;  39575.9; 
1350;  54841.8;  7025.1;  0.0;  61866.8;  78859.8;  7934.7;  0.0;  86794.4;  0.0;  0.0;  0.0;  0.0; 
1500;  80068.4;  10182.9;  0.0;  90251.3;  54563.4;  7345.6;  0.0;  61909.0;  21118.3;  2542.5;  0.0;  23660.8; 
1650;  89859.8;  10685.4;  0.0;  100545.2;  88170.6;  9393.2;  0.0;  97563.8;  50638.1;  1701.0;  0.0;  52339.1; 
1800;  87829.3;  10895.1;  0.0;  98724.4;  91110.1;  9365.2;  0.0;  100475.3;  52372.7;  2209.5;  0.0;  54582.3; 
